DATA	CAMINHO	"QTD GERAL
 LINHAS"	"LINHAS
SCRIPLETS"	"LINHAS
TAGLIB"	"LINHAS
HTML"	"LINHAS
SCRIPLETS
COMENTADAS"
2014-09-22 11:22:54	web/src/main/webapp/WEB-INF/jsp/includes/flot.jsp	11	0	0	10	1
2014-09-22 11:22:54	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	174	0	2	169	3
2014-09-22 11:22:54	web/src/main/webapp/WEB-INF/jsp/includes/transcript-breakdown-popup.jsp	16	0	0	16	0
2014-09-18 11:58:25	web/src/main/webapp/WEB-INF/jsp/experiment-experiment-design.jsp	124	0	6	97	21
2014-09-18 11:58:25	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-matrix-searchresults-diffanalytics.jsp	162	0	3	134	25
2014-09-10 09:34:17	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	123	0	10	92	21
2014-09-10 09:34:17	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	39	0	5	34	0
2014-09-10 09:34:17	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	76	0	2	52	22
2014-09-10 09:34:17	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	158	0	1	155	2
2014-09-09 10:55:34	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	123	0	10	92	21
2014-09-09 10:55:34	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	39	0	5	34	0
2014-09-09 10:55:34	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	158	0	1	155	2
2014-09-09 10:55:34	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	76	0	2	52	22
2014-09-09 10:09:27	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	139	0	10	108	21
2014-09-09 09:02:40	web/src/main/webapp/WEB-INF/jsp/experiment.jsp	139	0	10	108	21
2014-09-09 09:01:18	web/src/main/webapp/WEB-INF/jsp/experiment-react.jsp	139	0	10	108	21
2014-09-08 12:56:58	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	147	0	1	144	2
2014-09-08 11:02:03	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	354	0	4	314	36
2014-09-08 07:59:10	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	354	0	4	314	36
2014-09-04 05:49:49	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	354	0	4	314	36
2014-09-04 05:49:49	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	146	0	1	143	2
2014-09-03 13:02:12	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	354	0	4	314	36
2014-09-02 13:17:24	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	146	0	1	143	2
2014-08-28 07:46:55	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	146	0	1	143	2
2014-08-28 07:32:58	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	145	0	1	142	2
2014-08-28 07:21:51	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	147	0	1	144	2
2014-08-28 06:25:31	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	146	0	1	143	2
2014-08-22 12:09:19	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	354	0	4	314	36
2014-08-22 08:55:07	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-08-22 08:55:07	web/src/main/webapp/WEB-INF/jsp/layout/header.jsp	306	0	2	283	21
2014-08-21 11:59:38	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	59	0	5	54	0
2014-08-21 11:59:38	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	67	0	6	61	0
2014-08-21 11:59:36	web/src/main/webapp/WEB-INF/jsp/baseline-search-results.jsp	67	0	2	32	33
2014-08-21 11:59:36	web/src/main/webapp/WEB-INF/jsp/widget-layout.jsp	80	0	3	56	21
2014-08-21 11:59:35	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	145	0	1	142	2
2014-08-21 11:59:35	web/src/main/webapp/WEB-INF/jsp/baseline-search-results.jsp	66	0	2	32	32
2014-08-21 09:32:52	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	59	0	5	54	0
2014-08-21 09:32:36	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	59	0	5	54	0
2014-08-21 09:32:36	web/src/main/webapp/WEB-INF/jsp/heatmap-widget-react.jsp	67	0	6	61	0
2014-08-19 07:59:28	web/src/main/webapp/WEB-INF/jsp/baseline-search-results.jsp	67	0	2	32	33
2014-08-18 08:58:48	web/src/main/webapp/WEB-INF/jsp/widget-layout.jsp	80	0	3	56	21
2014-08-18 08:43:09	web/src/main/webapp/WEB-INF/jsp/includes/heatmap-react.jsp	145	0	1	142	2
2014-08-18 07:58:04	web/src/main/webapp/WEB-INF/jsp/baseline-search-results.jsp	66	0	2	32	32
2014-08-14 07:49:47	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	339	0	4	301	34
2014-08-13 07:54:04	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	339	0	4	301	34
2014-08-13 07:54:04	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-08-13 07:54:04	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	76	0	2	52	22
2014-08-13 07:54:04	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap.jsp	121	0	2	97	22
2014-08-13 06:11:47	web/src/main/webapp/WEB-INF/jsp/home.jsp	201	0	2	174	25
2014-08-13 06:01:41	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	339	0	4	301	34
2014-08-13 05:55:10	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap-react.jsp	76	0	2	52	22
2014-08-13 05:55:10	web/src/main/webapp/WEB-INF/jsp/includes/anatomogram-and-heatmap.jsp	121	0	2	97	22
2014-08-11 10:27:54	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	326	0	4	292	30
2014-08-07 10:17:02	web/src/main/webapp/WEB-INF/jsp/bioEntities.jsp	318	0	4	284	30
2014-08-07 10:17:02	web/src/main/webapp/WEB-INF/jsp/experiment-experiment-design.jsp	124	0	6	97	21
